CCCRRRAAA;TECH_GROUP;SUBTECH_GROUP;Value
SE2;WINDTURBINE_OFFSHORE;RG1_OFF3;0
SE2;WINDTURBINE_OFFSHORE;RG2_OFF3;0
SE2;WINDTURBINE_OFFSHORE;RG3_OFF3;0
SE2;WINDTURBINE_OFFSHORE;RG1_OFF4;0
SE2;WINDTURBINE_OFFSHORE;RG2_OFF4;0
SE2;WINDTURBINE_OFFSHORE;RG3_OFF4;0
SE2;WINDTURBINE_OFFSHORE;RG1_OFF5;0
SE2;WINDTURBINE_OFFSHORE;RG2_OFF5;0
SE2;WINDTURBINE_OFFSHORE;RG3_OFF5;0
SE3;SOLARPV;RG1;7328.7
SE3;SOLARPV;RG2;7328.7
SE3;SOLARPV;RG3;0
GR;WINDTURBINE_ONSHORE;RG2;4610.081301
SE1;WINDTURBINE_ONSHORE;RG3;4466.966967
BE;WINDTURBINE_ONSHORE;RG3;4450
SE3;WINDTURBINE_OFFSHORE;RG1_OFF1;0
SE3;WINDTURBINE_OFFSHORE;RG2_OFF1;10750
SE3;WINDTURBINE_OFFSHORE;RG3_OFF1;0
SE3;WINDTURBINE_OFFSHORE;RG1_OFF2;0
SE3;WINDTURBINE_OFFSHORE;RG2_OFF2;0
SE3;WINDTURBINE_OFFSHORE;RG3_OFF2;0
SE3;WINDTURBINE_OFFSHORE;RG1_OFF3;0
SE3;WINDTURBINE_OFFSHORE;RG2_OFF3;0
SE3;WINDTURBINE_OFFSHORE;RG3_OFF3;0
SE3;WINDTURBINE_OFFSHORE;RG1_OFF4;0
SE3;WINDTURBINE_OFFSHORE;RG2_OFF4;0
SE3;WINDTURBINE_OFFSHORE;RG3_OFF4;0
SE3;WINDTURBINE_OFFSHORE;RG1_OFF5;0
SE3;WINDTURBINE_OFFSHORE;RG2_OFF5;0
SE3;WINDTURBINE_OFFSHORE;RG3_OFF5;0
SE4;SOLARPV;RG1;7328.7
SE4;SOLARPV;RG2;7328.7
SE4;SOLARPV;RG3;0
SE2;WINDTURBINE_ONSHORE;RG2;4414.414414
SE3;WINDTURBINE_ONSHORE;RG2;4398.648649
IE;WINDTURBINE_ONSHORE;RG1;4358.909772
SE4;WINDTURBINE_OFFSHORE;RG1_OFF1;0
SE4;WINDTURBINE_OFFSHORE;RG2_OFF1;10750
SE4;WINDTURBINE_OFFSHORE;RG3_OFF1;0
SE4;WINDTURBINE_OFFSHORE;RG1_OFF2;0
SE4;WINDTURBINE_OFFSHORE;RG2_OFF2;0
SE4;WINDTURBINE_OFFSHORE;RG3_OFF2;0
SE4;WINDTURBINE_OFFSHORE;RG1_OFF3;0
SE4;WINDTURBINE_OFFSHORE;RG2_OFF3;0
SE4;WINDTURBINE_OFFSHORE;RG3_OFF3;0
SE4;WINDTURBINE_OFFSHORE;RG1_OFF4;0
SE4;WINDTURBINE_OFFSHORE;RG2_OFF4;0
