YYY;IRRRE;IRRRI;Value
2020;RS;MK;158706.383
2020;RS;BA;129217.0213
2021;DK1;DK2;47703.19149
2021;DK1;DE4-N;58014.89362
2021;DK1;NL;84700
2021;DK1;NO2;236519.1489
2021;DK1;SE3;313353.1915
2021;DK1;UK;626348.9362
2021;DK2;DK1;47703.19149
2021;DK2;DE4-E;132052.1277
2021;DK2;SE4;100305.3191
2021;FIN;NO4;314731.9149
2021;FIN;SE1;206425.5319
2021;FIN;SE3;551540.4255
2021;FIN;EE;380323.4043
2021;DE4-E;DK2;132052.1277
2021;DE4-E;DE4-N;151736.1702
2021;DE4-E;DE4-S;59700
2021;DE4-E;DE4-W;94348.40426
2021;DE4-E;SE4;244006.383
2021;DE4-E;PL;191092.5532
2021;DE4-E;CZ;180153.1915
2021;DE4-N;DK1;58014.89362
2021;DE4-N;DE4-E;151736.1702
2021;DE4-N;DE4-W;49606.2766
2021;DE4-N;NO2;100450
2021;DE4-N;SE4;313982.9787
2021;DE4-S;DE4-E;59700
2021;DE4-S;DE4-W;52050
2021;DE4-S;BE;93247.34043
2021;DE4-S;FR;251993.617
2021;DE4-S;CH;59806.91489
2021;DE4-S;AT;82345.21277
2021;DE4-S;CZ;208034.0426
2021;DE4-S;LU;161923.4043
2021;DE4-W;DE4-E;94348.40426
2021;DE4-W;DE4-N;49606.2766
2021;DE4-W;DE4-S;186051.0638
2021;DE4-W;NL;111523.4043
2021;DE4-W;BE;65594.68085
2021;DE4-W;LU;157097.8723
2021;NL;DK1;84700
2021;NL;DE4-W;111523.4043
2021;NL;UK;86250
2021;NL;BE;53236.17021
2021;NO1;NO2;127608.5106
2021;NO1;NO3;126536.1702
2021;NO1;NO5;105625.5319
2021;NO1;SE3;144229.7872
2021;NO2;DK1;236519.1489
2021;NO2;DE4-N;100450
2021;NO2;NO1;127608.5106
2021;NO2;NO5;90076.59574
2021;NO2;UK;140875
2021;NO3;NO1;126536.1702
2021;NO3;NO4;438587.234
2021;NO3;NO5;138331.9149
2021;NO3;SE2;180153.1915
2021;NO4;FIN;314731.9149
2021;NO4;NO3;438587.234
2021;NO4;SE1;134578.7234
2021;NO4;SE2;342076.5957
2021;NO5;NO1;105625.5319
2021;NO5;NO2;90076.59574
2021;NO5;NO3;138331.9149
2021;SE1;FIN;206425.5319
2021;SE1;NO4;134578.7234
2021;SE1;SE2;223046.8085
2021;SE2;NO3;180153.1915
