YYY;IRRRE;IRRRI;Value
2013;IT;GR;1390500
2013;IT;AL;968133
2013;IT;ME;857266.4755
2013;IT;MT;1182545
2013;CH;DE4-S;126689
2013;CH;FR;278716
2013;CH;IT;931165
2013;CH;AT;931165
2013;AT;DE4-S;487753
2013;AT;IT;487753
2013;AT;CH;931165
2013;AT;CZ;278716
2013;AT;SK;548138.9037
2013;AT;HU;592299.6108
2013;AT;SI;215686.1224
2013;CZ;DE4-E;304054
2013;CZ;DE4-S;430743
2013;CZ;PL;177364
2013;CZ;AT;278716
2013;CZ;SK;315477.81
2013;ES;FR;735000
2013;ES;PT;568400
2013;PT;ES;568400
2013;SK;PL;403539.6641
2013;SK;AT;548138.9037
2013;SK;CZ;315477.81
2013;SK;HU;164284.1488
2013;HU;AT;592299.6108
2013;HU;SK;164284.1488
2013;HU;SI;435046.0795
2013;HU;HR;420505.3745
2013;HU;RO;399504.3858
2013;HU;RS;342454.1608
2013;SI;IT;427272.9872
2013;SI;AT;215686.1224
2013;SI;HU;435046.0795
2013;SI;HR;124972.7145
2013;HR;IT;549476.7599
2013;HR;HU;420505.3745
2013;HR;SI;124972.7145
2013;HR;BA;246904.4733
2013;HR;RS;469020.1644
2013;RO;HU;399504.3858
2013;RO;BG;333366
2013;RO;RS;385758.4619
2013;BG;RO;333366.0424
2013;BG;GR;467000
2013;BG;MK;298391
2013;BG;RS;342009.3003
2013;BG;TR;991122.9
2013;GR;IT;1390500
2013;GR;BG;467000
2013;GR;AL;290000
2013;GR;MK;270000
2013;GR;TR;1537065
2013;GR;CY;1425000
2013;IE;UK;599364.9205
2013;LU;DE4-W;134659.7528
2013;LU;BE;190597.0228
2013;LU;FR;491522.6477
2013;AL;IT;968133
2013;AL;GR;290000
2013;AL;ME;202721.1714
2013;AL;MK;176585.6
2013;AL;RS;343228.9412
2013;ME;IT;857266.4755
2013;ME;AL;202721.2
2013;ME;BA;179897.0088
2013;ME;RS;184223.1731
2013;MK;BG;298391
2013;MK;GR;270000
2013;MK;AL;176585.6
2013;MK;RS;289529.2463
2013;BA;HR;246904.4733
2013;BA;ME;179897.0088
2013;BA;RS;240605.3142
2013;RS;HU;342454.1608
2013;RS;HR;469020.1644
2013;RS;RO;385758.4619
2013;RS;BG;342009.3
2013;RS;AL;343228.9
2013;RS;ME;184223.1731
2013;RS;MK;289529.2
2013;RS;BA;240605.3142
2013;TR;BG;991122.9
2013;TR;GR;1537065
2013;TR;CY;778000.3
2013;MT;IT;1182545
2013;CY;GR;1425000
2013;CY;TR;778000.3
2014;DK1;DK2;509574
2014;DK1;DE4-N;568371
2014;DK1;NL;842800
2014;DK1;NO2;695800
2014;DK1;SE3;774161
2014;DK1;UK;1195600
2014;DK2;DK1;509574
2014;DK2;DE4-E;568371
2014;DK2;SE4;421379
2014;FIN;NO4;568371
2014;FIN;SE1;568371
2014;FIN;SE3;793760
2014;FIN;EE;676200
2014;DE4-E;DK2;568371
2014;DE4-E;DE4-N;568371
2014;DE4-E;DE4-S;568371
2014;DE4-E;DE4-W;568371
2014;DE4-E;SE4;842800
2014;DE4-E;PL;568371
2014;DE4-E;CZ;304054
2014;DE4-N;DK1;568371
2014;DE4-N;DE4-E;568371
2014;DE4-N;DE4-W;568371
2014;DE4-N;NO2;1185800
2014;DE4-N;SE4;842800
2014;DE4-S;DE4-E;568371
2014;DE4-S;DE4-W;568371
2014;DE4-S;BE;539000
2014;DE4-S;FR;568400
2014;DE4-S;CH;126689
2014;DE4-S;AT;487753
2014;DE4-S;CZ;430743
2014;DE4-W;DE4-E;568371
2014;DE4-W;DE4-N;568371
2014;DE4-W;DE4-S;568371
2014;DE4-W;NL;568371
2014;DE4-W;BE;568371
2014;DE4-W;LU;134659.7528
2014;NL;DK1;842800
2014;NL;DE4-W;568371
2014;NL;UK;872200
2014;NL;BE;450800
2014;NO1;NO2;509574
2014;NO1;NO3;568371
2014;NO1;NO5;519374
2014;NO1;SE3;568371
2014;NO2;DK1;695800
2014;NO2;DE4-N;1185800
2014;NO2;NO1;509574
2014;NO2;NO5;489975
2014;NO2;UK;1215200
2014;NO3;NO1;568371
2014;NO3;NO4;568371
2014;NO3;NO5;509574
2014;NO3;SE2;568371
2014;NO4;FIN;568371
2014;NO4;NO3;568371
2014;NO4;SE1;489975
2014;NO4;SE2;538973
2014;NO5;NO1;519374
2014;NO5;NO2;489975
2014;NO5;NO3;509574
2014;SE1;FIN;568371
2014;SE1;NO4;489975
2014;SE1;SE2;568371
2014;SE2;NO3;568371
2014;SE2;NO4;538973
2014;SE2;SE1;568371
2014;SE2;SE3;568371
2014;SE3;DK1;774161
2014;SE3;FIN;793760
2014;SE3;NO1;568371
2014;SE3;SE2;568371
2014;SE3;SE4;568371
2014;SE3;EE;999600
2014;SE3;LV;999600
2014;SE4;DK2;421379
2014;SE4;DE4-E;842800
2014;SE4;DE4-N;842800
2014;SE4;SE3;568371
2014;SE4;LT;989800
2014;SE4;PL;862400
2014;UK;DK1;1195600
2014;UK;NL;872200
2014;UK;NO2;1215200
2014;UK;BE;401800
2014;UK;FR;735000
2014;UK;IE;599364.9205
2014;EE;FIN;676200
2014;EE;SE3;999600
2014;EE;LV;450800
2014;LV;SE3;999600
2014;LV;EE;450800
2014;LV;LT;450800
2014;LT;SE4;989800
2014;LT;LV;450800
2014;LT;PL;568371
2014;PL;DE4-E;568371
2014;PL;SE4;862400
2014;PL;LT;568371
2014;PL;CZ;177364
2014;PL;SK;403539.6641
2014;BE;DE4-S;539000
2014;BE;DE4-W;568371
2014;BE;NL;450800
2014;BE;UK;401800
2014;BE;FR;568400
2014;BE;LU;190597.0228
2014;FR;DE4-S;568400
2014;FR;UK;735000
2014;FR;BE;568400
2014;FR;IT;735000
2014;FR;CH;278716
2014;FR;ES;735000
2014;FR;LU;491522.6477
2014;IT;FR;735000
2014;IT;CH;931165
2014;IT;AT;487753
2014;IT;SI;427272.9872
2014;IT;HR;549476.7599
2014;IT;GR;1390500
2014;IT;AL;968133
2014;IT;ME;857266.4755
2014;IT;MT;1182545
2014;CH;DE4-S;126689
2014;CH;FR;278716
2014;CH;IT;931165
2014;CH;AT;931165
2014;AT;DE4-S;487753
2014;AT;IT;487753
2014;AT;CH;931165
2014;AT;CZ;278716
2014;AT;SK;548138.9037
2014;AT;HU;592299.6108
2014;AT;SI;215686.1224
2014;CZ;DE4-E;304054
2014;CZ;DE4-S;430743
2014;CZ;PL;177364
2014;CZ;AT;278716
2014;CZ;SK;315477.81
2014;ES;FR;735000
2014;ES;PT;568400
2014;PT;ES;568400
2014;SK;PL;403539.6641
2014;SK;AT;548138.9037
2014;SK;CZ;315477.81
2014;SK;HU;164284.1488
2014;HU;AT;592299.6108
2014;HU;SK;164284.1488
2014;HU;SI;435046.0795
2014;HU;HR;420505.3745
2014;HU;RO;399504.3858
2014;HU;RS;342454.1608
2014;SI;IT;427272.9872
2014;SI;AT;215686.1224
2014;SI;HU;435046.0795
2014;SI;HR;124972.7145
2014;HR;IT;549476.7599
2014;HR;HU;420505.3745
2014;HR;SI;124972.7145
2014;HR;BA;246904.4733
2014;HR;RS;469020.1644
2014;RO;HU;399504.3858
2014;RO;BG;333366
2014;RO;RS;385758.4619
2014;BG;RO;333366.0424
2014;BG;GR;467000
2014;BG;MK;298391
2014;BG;RS;342009.3003
2014;BG;TR;991122.9
2014;GR;IT;1390500
2014;GR;BG;467000
2014;GR;AL;290000
2014;GR;MK;270000
2014;GR;TR;1537065
2014;GR;CY;1425000
2014;IE;UK;599364.9205
2014;LU;DE4-W;134659.7528
2014;LU;BE;190597.0228
2014;LU;FR;491522.6477
2014;AL;IT;968133
2014;AL;GR;290000
2014;AL;ME;202721.1714
2014;AL;MK;176585.6
2014;AL;RS;343228.9412
2014;ME;IT;857266.4755
2014;ME;AL;202721.2
2014;ME;BA;179897.0088
2014;ME;RS;184223.1731
2014;MK;BG;298391
2014;MK;GR;270000
2014;MK;AL;176585.6
2014;MK;RS;289529.2463
2014;BA;HR;246904.4733
2014;BA;ME;179897.0088
2014;BA;RS;240605.3142
2014;RS;HU;342454.1608
2014;RS;HR;469020.1644
2014;RS;RO;385758.4619
2014;RS;BG;342009.3
2014;RS;AL;343228.9
2014;RS;ME;184223.1731
2014;RS;MK;289529.2
2014;RS;BA;240605.3142
2014;TR;BG;991122.9
2014;TR;GR;1537065
2014;TR;CY;778000.3
2014;MT;IT;1182545
2014;CY;GR;1425000
2014;CY;TR;778000.3
2015;DK1;DK2;509574
2015;DK1;DE4-N;568371
2015;DK1;NL;842800
2015;DK1;NO2;695800
2015;DK1;SE3;774161
2015;DK1;UK;1195600
2015;DK2;DK1;509574
2015;DK2;DE4-E;568371
2015;DK2;SE4;421379
2015;FIN;NO4;568371
2015;FIN;SE1;568371
2015;FIN;SE3;793760
2015;FIN;EE;676200
2015;DE4-E;DK2;568371
2015;DE4-E;DE4-N;568371
2015;DE4-E;DE4-S;568371
2015;DE4-E;DE4-W;568371
2015;DE4-E;SE4;842800
2015;DE4-E;PL;568371
2015;DE4-E;CZ;304054
2015;DE4-N;DK1;568371
2015;DE4-N;DE4-E;568371
2015;DE4-N;DE4-W;568371
2015;DE4-N;NO2;1185800
2015;DE4-N;SE4;842800
2015;DE4-S;DE4-E;568371
2015;DE4-S;DE4-W;568371
2015;DE4-S;BE;539000
2015;DE4-S;FR;568400
2015;DE4-S;CH;126689
2015;DE4-S;AT;487753
2015;DE4-S;CZ;430743
2015;DE4-W;DE4-E;568371
2015;DE4-W;DE4-N;568371
2015;DE4-W;DE4-S;568371
2015;DE4-W;NL;568371
2015;DE4-W;BE;568371
2015;DE4-W;LU;134659.7528
2015;NL;DK1;842800
2015;NL;DE4-W;568371
2015;NL;UK;872200
2015;NL;BE;450800
2015;NO1;NO2;509574
2015;NO1;NO3;568371
2015;NO1;NO5;519374
2015;NO1;SE3;568371
2015;NO2;DK1;695800
2015;NO2;DE4-N;1185800
2015;NO2;NO1;509574
2015;NO2;NO5;489975
2015;NO2;UK;1215200
2015;NO3;NO1;568371
2015;NO3;NO4;568371
2015;NO3;NO5;509574
2015;NO3;SE2;568371
2015;NO4;FIN;568371
2015;NO4;NO3;568371
2015;NO4;SE1;489975
2015;NO4;SE2;538973
2015;NO5;NO1;519374
2015;NO5;NO2;489975
2015;NO5;NO3;509574
2015;SE1;FIN;568371
2015;SE1;NO4;489975
2015;SE1;SE2;568371
2015;SE2;NO3;568371
2015;SE2;NO4;538973
2015;SE2;SE1;568371
2015;SE2;SE3;568371
2015;SE3;DK1;774161
2015;SE3;FIN;793760
2015;SE3;NO1;568371
2015;SE3;SE2;568371
2015;SE3;SE4;568371
2015;SE3;EE;999600
2015;SE3;LV;999600
2015;SE4;DK2;421379
2015;SE4;DE4-E;842800
2015;SE4;DE4-N;842800
2015;SE4;SE3;568371
2015;SE4;LT;989800
2015;SE4;PL;862400
2015;UK;DK1;1195600
2015;UK;NL;872200
2015;UK;NO2;1215200
2015;UK;BE;401800
2015;UK;FR;735000
2015;UK;IE;599364.9205
2015;EE;FIN;676200
2015;EE;SE3;999600
2015;EE;LV;450800
2015;LV;SE3;999600
2015;LV;EE;450800
2015;LV;LT;450800
2015;LT;SE4;989800
2015;LT;LV;450800
2015;LT;PL;568371
