"Y";"C";"RRR";"VARIABLE_CATEGORY";"UNITS";"value";"Scenario"
"2020";"FRANCE";"FR";"TRANS_LOSSES";"TWh";0.515440182168725;"GH2E"
"2020";"FRANCE";"FR";"ENDO_CCS";"TWh";0.250464147501902;"GH2E"
"2020";"FRANCE";"FR";"ENDO_H2";"TWh";2.09943053728983;"GH2E"
"2020";"ITALY";"IT";"EXOGENOUS";"TWh";226.011768276392;"GH2E"
"2020";"ITALY";"IT";"ENDOGENOUS_ELECT2HEAT";"TWh";59.2698088856562;"GH2E"
"2020";"ITALY";"IT";"ENDO_INTRASTO";"TWh";0.167390489244666;"GH2E"
"2020";"ITALY";"IT";"DIST_LOSSES";"TWh";15.0095633754522;"GH2E"
"2020";"ITALY";"IT";"TRANS_LOSSES";"TWh";1.53570820930744;"GH2E"
"2020";"ITALY";"IT";"ENDO_H2";"TWh";2.37233543484774;"GH2E"
"2020";"SWITZERLAND";"CH";"EXOGENOUS";"TWh";43.8946830638919;"GH2E"
"2020";"SWITZERLAND";"CH";"ENDOGENOUS_ELECT2HEAT";"TWh";14.7940694184452;"GH2E"
"2020";"SWITZERLAND";"CH";"DIST_LOSSES";"TWh";3.08888170959669;"GH2E"
"2020";"SWITZERLAND";"CH";"TRANS_LOSSES";"TWh";0.420716588492827;"GH2E"
"2020";"SWITZERLAND";"CH";"ENDO_H2";"TWh";0.0855175838375431;"GH2E"
"2020";"AUSTRIA";"AT";"EXOGENOUS";"TWh";65.0553648534638;"GH2E"
"2020";"AUSTRIA";"AT";"ENDOGENOUS_ELECT2HEAT";"TWh";31.9194813619382;"GH2E"
"2020";"AUSTRIA";"AT";"DIST_LOSSES";"TWh";5.10393927449485;"GH2E"
"2020";"AUSTRIA";"AT";"TRANS_LOSSES";"TWh";0.268723470797188;"GH2E"
"2020";"AUSTRIA";"AT";"ENDO_H2";"TWh";0.449974634055221;"GH2E"
"2020";"CZECH_REPUBLIC";"CZ";"EXOGENOUS";"TWh";58.9256648040899;"GH2E"
"2020";"CZECH_REPUBLIC";"CZ";"ENDOGENOUS_ELECT2HEAT";"TWh";16.2310146958083;"GH2E"
"2020";"CZECH_REPUBLIC";"CZ";"ENDO_INTRASTO";"TWh";0.026623992624906;"GH2E"
"2020";"CZECH_REPUBLIC";"CZ";"DIST_LOSSES";"TWh";3.95561471052096;"GH2E"
"2020";"CZECH_REPUBLIC";"CZ";"TRANS_LOSSES";"TWh";0.0912065194428049;"GH2E"
"2020";"CZECH_REPUBLIC";"CZ";"ENDO_H2";"TWh";0.451446094070592;"GH2E"
"2020";"SPAIN";"ES";"EXOGENOUS";"TWh";179.544563982154;"GH2E"
"2020";"SPAIN";"ES";"ENDOGENOUS_ELECT2HEAT";"TWh";33.2562747109768;"GH2E"
"2020";"SPAIN";"ES";"ENDO_INTRASTO";"TWh";0.157187420951782;"GH2E"
"2020";"SPAIN";"ES";"DIST_LOSSES";"TWh";11.2000441417437;"GH2E"
