"Y";"C";"RRR";"SUBCATEGORY";"UNITS";"value";"Scenario"
"2020";"LITHUANIA";"LT";"GENERATION_FIXED_COSTS";"Mmoney";410.462718882062;"GH2E"
"2020";"LITHUANIA";"LT";"GENERATION_OPERATIONAL_COSTS";"Mmoney";26.3786822462872;"GH2E"
"2020";"LITHUANIA";"LT";"GENERATION_FUEL_COSTS";"Mmoney";547.497617057471;"GH2E"
"2020";"LITHUANIA";"LT";"TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";6.40299184493264e-05;"GH2E"
"2020";"LITHUANIA";"LT";"HEAT_TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";8.92075277925209e-05;"GH2E"
"2020";"LITHUANIA";"LT";"GENERATION_CO2_TAX";"Mmoney";281.930211377574;"GH2E"
"2020";"POLAND";"PL";"GENERATION_CAPITAL_COSTS";"Mmoney";2841.49523157591;"GH2E"
"2020";"POLAND";"PL";"GENERATION_FIXED_COSTS";"Mmoney";5965.29719779352;"GH2E"
"2020";"POLAND";"PL";"GENERATION_OPERATIONAL_COSTS";"Mmoney";614.48217885274;"GH2E"
"2020";"POLAND";"PL";"GENERATION_FUEL_COSTS";"Mmoney";8482.62696982779;"GH2E"
"2020";"POLAND";"PL";"TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.00119455903640873;"GH2E"
"2020";"POLAND";"PL";"HEAT_TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.000519076387685158;"GH2E"
"2020";"POLAND";"PL";"GENERATION_CO2_TAX";"Mmoney";15670.7540078491;"GH2E"
"2020";"BELGIUM";"BE";"GENERATION_CAPITAL_COSTS";"Mmoney";2128.1717316334;"GH2E"
"2020";"BELGIUM";"BE";"GENERATION_FIXED_COSTS";"Mmoney";3530.17381595554;"GH2E"
"2020";"BELGIUM";"BE";"GENERATION_OPERATIONAL_COSTS";"Mmoney";461.027953514931;"GH2E"
