"Y";"C";"IRRRE";"IRRRI";"VARIABLE_CATEGORY";"UNITS";"value";"Scenario"
"2020";"POLAND";"PL";"DE4-E";"EXOGENOUS";"GW";2.5;"GH2E"
"2020";"POLAND";"PL";"SE4";"EXOGENOUS";"GW";0.6;"GH2E"
"2020";"POLAND";"PL";"LT";"EXOGENOUS";"GW";0.5;"GH2E"
"2020";"POLAND";"PL";"CZ";"EXOGENOUS";"GW";0.8;"GH2E"
"2020";"POLAND";"PL";"SK";"EXOGENOUS";"GW";0.99;"GH2E"
"2020";"BELGIUM";"BE";"DE4-W";"EXOGENOUS";"GW";1;"GH2E"
"2020";"BELGIUM";"BE";"NL";"EXOGENOUS";"GW";2.4;"GH2E"
"2020";"BELGIUM";"BE";"UK";"EXOGENOUS";"GW";1;"GH2E"
"2020";"BELGIUM";"BE";"FR";"EXOGENOUS";"GW";1.8;"GH2E"
"2020";"BELGIUM";"BE";"LU";"EXOGENOUS";"GW";0.68;"GH2E"
"2020";"FRANCE";"FR";"DE4-S";"EXOGENOUS";"GW";1.8;"GH2E"
"2020";"FRANCE";"FR";"UK";"EXOGENOUS";"GW";4;"GH2E"
"2020";"FRANCE";"FR";"BE";"EXOGENOUS";"GW";3.3;"GH2E"
"2020";"FRANCE";"FR";"IT";"EXOGENOUS";"GW";4.4;"GH2E"
"2020";"FRANCE";"FR";"CH";"EXOGENOUS";"GW";3.15;"GH2E"
"2020";"FRANCE";"FR";"ES";"EXOGENOUS";"GW";2.6;"GH2E"
"2020";"ITALY";"IT";"FR";"EXOGENOUS";"GW";2.31;"GH2E"
"2020";"ITALY";"IT";"CH";"EXOGENOUS";"GW";1.91;"GH2E"
"2020";"ITALY";"IT";"AT";"EXOGENOUS";"GW";0.235;"GH2E"
"2020";"ITALY";"IT";"SI";"EXOGENOUS";"GW";0.895;"GH2E"
"2020";"ITALY";"IT";"GR";"EXOGENOUS";"GW";0.5;"GH2E"
"2020";"ITALY";"IT";"ME";"EXOGENOUS";"GW";0.6;"GH2E"
"2020";"ITALY";"IT";"MT";"EXOGENOUS";"GW";0.2;"GH2E"
"2020";"SWITZERLAND";"CH";"DE4-S";"EXOGENOUS";"GW";4.6;"GH2E"
"2020";"SWITZERLAND";"CH";"FR";"EXOGENOUS";"GW";1.3;"GH2E"
"2020";"SWITZERLAND";"CH";"IT";"EXOGENOUS";"GW";4.24;"GH2E"
"2020";"SWITZERLAND";"CH";"AT";"EXOGENOUS";"GW";1.2;"GH2E"
"2020";"AUSTRIA";"AT";"DE4-S";"EXOGENOUS";"GW";5;"GH2E"
"2020";"AUSTRIA";"AT";"IT";"EXOGENOUS";"GW";0.405;"GH2E"
"2020";"AUSTRIA";"AT";"CH";"EXOGENOUS";"GW";1.2;"GH2E"
"2020";"AUSTRIA";"AT";"CZ";"EXOGENOUS";"GW";0.9;"GH2E"
"2020";"AUSTRIA";"AT";"HU";"EXOGENOUS";"GW";0.8;"GH2E"
"2020";"AUSTRIA";"AT";"SI";"EXOGENOUS";"GW";0.95;"GH2E"
"2020";"CZECH_REPUBLIC";"CZ";"DE4-E";"EXOGENOUS";"GW";1.05;"GH2E"
"2020";"CZECH_REPUBLIC";"CZ";"DE4-S";"EXOGENOUS";"GW";1.05;"GH2E"
"2020";"CZECH_REPUBLIC";"CZ";"PL";"EXOGENOUS";"GW";0.6;"GH2E"
"2020";"CZECH_REPUBLIC";"CZ";"AT";"EXOGENOUS";"GW";0.8;"GH2E"
"2020";"CZECH_REPUBLIC";"CZ";"SK";"EXOGENOUS";"GW";1.8;"GH2E"
"2020";"SPAIN";"ES";"FR";"EXOGENOUS";"GW";2.7;"GH2E"
"2020";"SPAIN";"ES";"PT";"EXOGENOUS";"GW";3.6;"GH2E"
"2020";"PORTUGAL";"PT";"ES";"EXOGENOUS";"GW";3;"GH2E"
"2020";"SLOVAKIA";"SK";"PL";"EXOGENOUS";"GW";0.99;"GH2E"
"2020";"SLOVAKIA";"SK";"CZ";"EXOGENOUS";"GW";1.1;"GH2E"
"2020";"SLOVAKIA";"SK";"HU";"EXOGENOUS";"GW";2.35;"GH2E"
"2020";"HUNGARY";"HU";"AT";"EXOGENOUS";"GW";0.8;"GH2E"
